NAME                     VERSION                  TYPE   
libsepol1                2.8-1                    deb     
libsmartcols1            2.33.1-0.1               deb     
libss2                   1.44.5-1+deb10u3         deb     
libstdc++6               8.3.0-6                  deb     
libsystemd0              241-7~deb10u8            deb     
libtasn1-6               4.13-3                   deb     
libtinfo6                6.1+20181013-2+deb10u2   deb     
libudev1                 241-7~deb10u8            deb     
libunistring2            0.9.10-1                 deb     
libuuid1                 2.33.1-0.1               deb     
libzstd1                 1.3.8+dfsg-3+deb10u2     deb     
login                    1:4.5-1.1                deb     
matplotlib               3.4.3                    python  
matplotlib-inline        0.1.2                    python  
mawk                     1.3.3-17+b3              deb     
mkl-fft                  1.3.1                    python  
mount                    2.33.1-0.1               deb     
multidict                5.2.0                    python  
munkres                  1.1.4                    python  
ncurses-base             6.1+20181013-2+deb10u2   deb     
ncurses-bin              6.1+20181013-2+deb10u2   deb     
numpy                    1.22.3                   python  
oauthlib                 3.1.0                    python  
opt-einsum               3.3.0                    python  
packaging                21.3                     python  
parso                    0.8.3                    python  
passwd                   1:4.5-1.1                deb     
perl-base                5.28.1-6+deb10u1         deb     
pexpect                  4.8.0                    python  
pickleshare              0.7.5                    python  
pip                      21.2.4                   python  
prompt-toolkit           3.0.20                   python  
protobuf                 3.20.1                   python  
ptyprocess               0.7.0                    python  
pyOpenSSL                22.0.0                   python  
pyasn1                   0.4.8                    python  
pyasn1-modules           0.2.8                    python  
pycparser                2.21                     python  
pyparsing                3.0.4                    python  
pyrsistent               0.18.0                   python  
python-dateutil          2.8.2                    python  
pytz                     2022.1                   python  
requests                 2.27.1                   python  
requests-oauthlib        1.3.0                    python  
rsa                      4.7.2                    python  
scikit-learn             0.24.2                   python  
scipy                    1.7.3                    python  
sed                      4.7-1                    deb     
setuptools               61.2.0                   python  
sip                      6.5.1                    python  
six                      1.16.0                   python  
sysvinit-utils           2.93-8                   deb     
tar                      1.30+dfsg-6              deb     
tensorboard              2.6.0                    python  
tensorboard-data-server  0.6.0                    python  
tensorboard-plugin-wit   1.6.0                    python  
tensorflow               2.3.0                    python  
tensorflow-estimator     2.6.0                    python  
termcolor                1.1.0                    python  
threadpoolctl            2.2.0                    python  
toml                     0.10.2                   python  
tornado                  6.1                      python  
tqdm                     4.64.0                   python  
traitlets                5.1.1                    python  
typing_extensions        4.1.1                    python  
tzdata                   2021a-0+deb10u5          deb     
urllib3                  1.26.9                   python  
util-linux               2.33.1-0.1               deb     
wcwidth                  0.2.5                    python  
wheel                    0.37.1                   python  
wrapt                    1.13.3                   python  
yarl                     1.6.3                    python  
zipp                     3.8.0                    python  
zlib1g                   1:1.2.11.dfsg-1+deb10u1  deb     
