NAME                    VERSION                            TYPE   
libtasn1-6              4.16.0-2                           deb     
libtinfo6               6.2-0ubuntu2                       deb     
libudev1                245.4-4ubuntu3.17                  deb     
libunistring2           0.9.10-2                           deb     
libuuid1                2.34-0.1ubuntu9.3                  deb     
libwind0-heimdal        7.7.0+dfsg-1ubuntu1                deb     
libzstd1                1.4.4+dfsg-3ubuntu0.1              deb     
login                   1:4.8.1-1ubuntu5.20.04.2           deb     
logsave                 1.45.5-2ubuntu1.1                  deb     
lsb-base                11.1.0ubuntu2                      deb     
mamba                   0.24.0                             python  
mawk                    1.3.4.20200120-2                   deb     
more-itertools          8.8.0                              python  
mount                   2.34-0.1ubuntu9.3                  deb     
multidict               5.1.0                              python  
ncurses-base            6.2-0ubuntu2                       deb     
ncurses-bin             6.2-0ubuntu2                       deb     
numexpr                 2.7.3                              python  
numpy                   1.19.1                             python  
openssl                 1.1.1f-1ubuntu2.16                 deb     
packaging               21.0                               python  
pandas                  1.1.5                              python  
passwd                  1:4.8.1-1ubuntu5.20.04.2           deb     
perl                    5.30.0-9ubuntu0.2                  deb     
perl-base               5.30.0-9ubuntu0.2                  deb     
perl-modules-5.30       5.30.0-9ubuntu0.2                  deb     
pip                     22.2.1                             python  
pip                     22.2.2                             python  
pluggy                  0.13.1                             python  
procps                  2:3.3.16-1ubuntu2.3                deb     
protobuf                3.17.2                             python  
py                      1.10.0                             python  
pyOpenSSL               21.0.0                             python  
pyOpenSSL               22.0.0                             python  
pycosat                 0.6.3                              python  
pycparser               2.20                               python  
pymssql                 2.1.5                              python  
pyparsing               3.0.9                              python  
pytest                  6.2.4                              python  
python-dateutil         2.8.2                              python  
pytz                    2021.3                             python  
pyzmq                   22.2.1                             python  
readline                6.2.4.1                            python  
requests                2.25.1                             python  
requests                2.28.1                             python  
ruamel-yaml-conda       0.15.100                           python  
ruamel-yaml-conda       0.15.80                            python  
sed                     4.7-1                              deb     
sensible-utils          0.0.12+nmu1                        deb     
setuptools              59.8.0                             python  
setuptools              61.2.0                             python  
six                     1.16.0                             python  
sysvinit-utils          2.96-2.1ubuntu1                    deb     
tar                     1.30+dfsg-7ubuntu0.20.04.2         deb     
toml                    0.10.2                             python  
tqdm                    4.61.2                             python  
tqdm                    4.64.0                             python  
typing-extensions       3.10.0.2                           python  
ubuntu-keyring          2020.02.11.4                       deb     
urllib3                 1.26.11                            python  
util-linux              2.34-0.1ubuntu9.3                  deb     
wget                    1.20.3-1ubuntu2                    deb     
wheel                   0.37.1                             python  
yarl                    1.6.3                              python  
zlib1g                  1:1.2.11.dfsg-2ubuntu1.3           deb     
